"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,SABONETE COMUM,"",UN,"1",7896090400331,SAB FRANCIS AMAREL 85G,"03/08/2020","03/08/2020",1.32,0.00,100.0000,10.0000,SAB FRANCIS SUAVE AMARELO 85GR,S,"103233",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090400331.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,DESODORANTES AEROSOL,"",UN,"1",7896090401208,DESOD AER HYD BR 150ML,"03/08/2020","03/08/2020",10.57,0.00,100.0000,10.0000,DESOD AER HYDRATTA BRANCO 150ML,S,"103373",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090401208.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,DESODORANTES AEROSOL,"",UN,"1",7896090401222,DESOD HYD VERDE 165ML,"03/08/2020","03/08/2020",10.57,0.00,100.0000,10.0000,DESOD AER HYDRATTA VERDE 165ML,S,"103403",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090401222.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,DESODORANTES ROLLON,"",UN,"1",7896090401246,DESOD ROLL HYD RS 50ML,"03/08/2020","03/08/2020",6.66,0.00,100.0000,10.0000,DESOD ROLLON HYDRATTA ROSA 50ML,S,"103500",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090401246.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,SABONETE COMUM,"",UN,"1",7896090403141,SAB FRANC FRU PINK 85G,"03/08/2020","03/08/2020",1.32,0.00,100.0000,10.0000,SAB FRANCIS SUAVE FRUTAS PINK 85GR,S,"1271946",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090403141.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,SABONETE COMUM,"",UN,"1",7896090403158,SAB FRANCIS FL BCO 85G,"03/08/2020","03/08/2020",1.32,0.00,100.0000,10.0000,SAB FRANCIS SUAVE FLORES BRANCO 85GR,S,"1271938",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090403158.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,DESODORANTES ROLLON,"",UN,"1",7896090404438,DESOD HYDRATTA 50ML,"03/08/2020","03/08/2020",6.66,0.00,100.0000,12.0000,DESOD ROLLON HYDRATTA MEN VERDE 50ML,S,"1725874",4.73,N,0,http://db.buzzer.com.br/middleware/imagens/7896090404438.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,SABONETE GLICERINADO,"",UN,"1",7896090404995,SAB FRANCIS SUAVE 85GR,"03/08/2020","03/08/2020",1.37,0.00,100.0000,10.0000,SAB FRANCIS SUAVE LILAS 85GR,S,"273740",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090404995.png
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",UN,"1",7896090800520,DESIN REAL PINHO 500ML,"03/08/2020","03/08/2020",2.98,0.00,100.0000,10.0000,DESINF REAL PINHO SILVESTRE 500ML,S,"217450",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090800520.png
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",UN,"1",7896090800674,DESINF REAL LAVANDA,"10/03/2072","03/08/2020",2.98,0.00,100.0000,10.0000,DESINF REAL LAVANDA 500ML,S,"698415",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090800674.png
